Condition 1,Condition 2,Cohen's d,P-value
invisible,contra_audio,0.9754172691319664,2.1930743317048686e-06
invisible,contra_visual,0.3542861445204567,0.046532955743725
invisible,const_contra_audio2,0.9247289737602368,5.317139569569032e-06
invisible,const_contra_visual,-0.6720215050322472,0.0004087451817535283
invisible,all,0.9754172691319664,2.1930743317048686e-06
invisible,visual_only,0.9754172691319664,2.1930743317048686e-06
invisible,audio_only,-0.9329903614147111,4.602502605889505e-06
contra_audio,contra_visual,-0.5089133578079827,0.005465719269518503
contra_audio,const_contra_audio2,-0.17149858514250824,0.3243747105262056
contra_audio,const_contra_visual,-1.2108584262923192,3.7464578727305366e-08
contra_audio,all,,
contra_audio,visual_only,,
contra_audio,audio_only,-1.647751133782854,3.215827175951472e-11
contra_visual,const_contra_audio2,0.4439238717491943,0.014081880940819294
contra_visual,const_contra_visual,-0.8845379626717034,1.0724423047879318e-05
contra_visual,all,0.5089133578079827,0.005465719269518503
contra_visual,visual_only,0.5089133578079827,0.005465719269518503
contra_visual,audio_only,-1.128152149635532,1.5437393384168986e-07
const_contra_audio2,const_contra_visual,-1.1656310103003926,8.107227860636071e-08
const_contra_audio2,all,0.17149858514250824,0.3243747105262056
const_contra_audio2,visual_only,0.17149858514250824,0.3243747105262056
const_contra_audio2,audio_only,-1.5656099068585865,1.1406598479189819e-10
const_contra_visual,all,1.2108584262923192,3.7464578727305366e-08
const_contra_visual,visual_only,1.2108584262923192,3.7464578727305366e-08
const_contra_visual,audio_only,-0.06116084024154951,0.7235756475399471
all,visual_only,,
all,audio_only,-1.647751133782854,3.215827175951472e-11
visual_only,audio_only,-1.647751133782854,3.215827175951472e-11
