Condition 1,Condition 2,Cohen's d,P-value
invisible,contra_audio,-2.439471203,7.08E-16
invisible,contra_visual,-0.681060878,0.000351628
invisible,const_contra_audio2,-2.375594285,1.53E-15
invisible,const_contra_visual,0.760715081,9.14E-05
invisible,all,-2.535716765,2.27E-16
invisible,visual_only,-2.48204334,4.26E-16
invisible,audio_only,0.934432503,4.49E-06
contra_audio,contra_visual,2.044051123,1.09E-13
contra_audio,const_contra_audio2,0.054757713,0.751460467
contra_audio,const_contra_visual,2.433406502,7.61E-16
contra_audio,all,-0.275307404,0.117676499
contra_audio,visual_only,-0.504148286,0.005870149
contra_audio,audio_only,3.298393469,7.58E-20
contra_visual,const_contra_audio2,-1.935753938,4.81E-13
contra_visual,const_contra_visual,1.230666539,2.68E-08
contra_visual,all,-2.009574091,1.73E-13
contra_visual,visual_only,-2.014434978,1.62E-13
contra_visual,audio_only,1.620237325,4.90E-11
const_contra_audio2,const_contra_visual,2.335005726,2.53E-15
const_contra_audio2,all,-0.209540595,0.230179136
const_contra_audio2,visual_only,-0.384298498,0.031678094
const_contra_audio2,audio_only,3.176806734,2.44E-19
const_contra_visual,all,-2.411387328,9.92E-16
const_contra_visual,visual_only,-2.398737255,1.16E-15
const_contra_visual,audio_only,0.088311843,0.609925225
all,visual_only,-0.30966968,0.079830879
all,audio_only,3.322088549,6.06E-20
visual_only,audio_only,3.272679205,9.67E-20
