Condition 1,Condition 2,Cohen's d,P-value
invisible,contra_audio,0.3061862178478974,0.08312711474128738
invisible,contra_visual,0.17149858514250887,0.3243747105262056
invisible,const_contra_audio2,0.3061862178478974,0.08312711474128738
invisible,const_contra_visual,-0.2635231383473648,0.1336485346252268
invisible,all,0.3061862178478974,0.08312711474128738
invisible,visual_only,0.3061862178478974,0.08312711474128738
invisible,audio_only,-0.38411063979868776,0.03175605812182502
contra_audio,contra_visual,-0.17149858514250887,0.3243747105262056
contra_audio,const_contra_audio2,,
contra_audio,const_contra_visual,-0.5443310539518172,0.0031866512640918152
contra_audio,all,,
contra_audio,visual_only,,
contra_audio,audio_only,-0.5883484054145519,0.0015974272752650122
contra_visual,const_contra_audio2,0.17149858514250887,0.3243747105262056
contra_visual,const_contra_visual,-0.4999999999999998,0.006245000733895191
contra_visual,all,0.17149858514250887,0.3243747105262056
contra_visual,visual_only,0.17149858514250887,0.3243747105262056
contra_visual,audio_only,-0.5443310539518172,0.0031866512640918152
const_contra_audio2,const_contra_visual,-0.5443310539518172,0.0031866512640918152
const_contra_audio2,all,,
const_contra_audio2,visual_only,,
const_contra_audio2,audio_only,-0.5883484054145519,0.0015974272752650122
const_contra_visual,all,0.5443310539518172,0.0031866512640918152
const_contra_visual,visual_only,0.5443310539518172,0.0031866512640918152
const_contra_visual,audio_only,-0.0510310363079829,0.7678499929546108
all,visual_only,,
all,audio_only,-0.5883484054145519,0.0015974272752650122
visual_only,audio_only,-0.5883484054145519,0.0015974272752650122
