,time,x,y,z,rx,ry,rz,maze_type,condition,collision_status,Participant,Distance,Total Distance
2176,1692005087498,-3.250142,0.219,0.4013464,0,0,0,Maze3,contra_visual,0,BAS20,0.0166906,7.567551589690537
3656,1692005121248,0.5627571,0.219,0.7191271,0,0,0,Maze1,all,0,BAS20,0.010417600000000027,7.538271604472669
5237,1692005158515,-3.271193,0.219,0.3856468,0,0,0,Maze3,contra_audio,0,BAS20,0.008343099999999992,7.509740459562523
11241,1692005281446,0.6756052,0.2189998,-1.094114,0,0,0,Maze1,invisible,0,BAS20,0.0,17.360380845315408
12854,1692005317714,0.481719,0.219,-2.781719,0,0,0,Maze2,const_contra_audio2,0,BAS20,0.008338999999999874,6.986637283504834
15632,1692005376330,-3.242885,0.219,0.3904382,0,0,0,Maze3,invisible,0,BAS20,0.008339900000000011,9.943372500061498
17998,1692005429429,0.450628,0.219,-2.792053,0,0,0,Maze2,contra_visual,0,BAS20,0.008325000000000138,11.953474535244283
19008,1692005452379,-3.223649,0.219,0.3981271,0,0,0,Maze3,visual_only,0,BAS20,0.0083569,7.12171238376857
20037,1692005475179,0.5125365,0.219,-2.782665,0,0,0,Maze2,all,0,BAS20,0.008338000000000179,6.9738246572620115
21952,1692005516530,-3.292681,0.219,-2.790294,0,0,0,Maze4,contra_visual,0,BAS20,0.008332999999999924,10.169953939991828
22892,1692005537462,0.5270435,0.219,0.8583448,0,0,0,Maze1,visual_only,0,BAS20,0.008325099999999974,5.611223636161214
24598,1692005574362,-3.144162,0.219,-2.852029,0,0,0,Maze4,invisible,0,BAS20,0.008325000000000138,6.210289616206862
25435,1692005595112,0.5566915,0.219,0.7269371,0,0,0,Maze1,const_contra_audio2,0,BAS20,0.008335800000000004,5.596215702547091
31474,1692005718011,-0.640572,0.2190007,-0.9839782,0,0,0,Maze2,const_contra_visual,0,BAS20,0.00708910000000007,25.22407436698678
33117,1692005754361,0.5415857,0.219,0.7613291,0,0,0,Maze1,contra_visual,0,BAS20,0.008324899999999968,7.449931853947314
34071,1692005777178,-3.159111,0.219,0.4454893,0,0,0,Maze3,const_contra_audio2,0,BAS20,0.008325099999999974,7.25578445048428
40108,1692005900477,-1.908638,0.2189995,-1.089584,0,0,0,Maze4,audio_only,0,BAS20,0.008334000000000064,12.60095479871152
41231,1692005925927,-3.175794,0.219,0.4295753,0,0,0,Maze3,all,0,BAS20,0.008324999999999971,7.237826000062007
42189,1692005946795,-3.168941,0.219,-2.831535,0,0,0,Maze4,visual_only,0,BAS20,0.008325000000000138,6.273271824433596
45504,1692006015494,0.6108268,0.219,1.039335,0,0,0,Maze1,audio_only,0,BAS20,0.0037565000000000515,8.711747060002702
51534,1692006142993,-3.129028,0.2189999,-1.08089,0,0,0,Maze4,const_contra_visual,0,BAS20,0.008325000000000138,20.82776709053961
52495,1692006164560,0.5761515,0.219,-2.783846,0,0,0,Maze2,visual_only,0,BAS20,0.01664999999999983,7.042039321431449
53437,1692006185077,-3.311765,0.219,-2.79235,0,0,0,Maze4,all,0,BAS20,0.008335999999999899,6.659771235143871
54271,1692006204160,0.5332578,0.219,0.8096564,0,0,0,Maze1,contra_audio,0,BAS20,0.008337099999999986,5.774969725137716
60319,1692006327209,-0.1557132,0.219,0.9024436,0,0,0,Maze3,const_contra_visual,0,BAS20,0.01667360000000001,16.983406018568623
65175,1692006426209,0.5966073,0.2190001,-2.784648,0,0,0,Maze2,audio_only,0,BAS20,0.0070909999999999584,16.453572960232265
67265,1692006472542,0.5192975,0.219,0.8095257,0,0,0,Maze1,const_contra_visual,0,BAS20,0.005410799999999938,8.064386335428427
73270,1692006598424,-1.370973,0.219,0.6955779,0,0,0,Maze2,invisible,0,BAS20,0.008336699999999975,21.947938112855397
74131,1692006617841,-3.229594,0.219,-2.799442,0,0,0,Maze4,const_contra_audio2,0,BAS20,0.008325000000000138,6.310021913863203
75366,1692006645092,0.444745,0.219,-2.798224,0,0,0,Maze2,contra_audio,0,BAS20,0.00834299999999999,7.239649223035798
77603,1692006691691,-3.237341,0.219,0.3933288,0,0,0,Maze3,audio_only,0,BAS20,0.0070837999999999735,8.083240200003296
78436,1692006711975,-3.287279,0.219,-2.786549,0,0,0,Maze4,contra_audio,0,BAS20,0.008325000000000138,6.3707877122436445
84455,1689836807808,-2.269233,0.2190998,-1.258463,0,0,0,Maze2,const_contra_visual,0,BCS11,0.0,48.21775795196312
85289,1689836836711,-3.329418,0.219,-2.796333,0,0,0,Maze4,visual_only,0,BCS11,0.008323999999999998,15.455499640395786
87362,1689836879327,0.5286368,0.2188259,0.7833396,0,0,0,Maze1,contra_visual,0,BCS11,0.008323300000000033,28.590691586881455
90389,1689836964760,-3.518681,0.219,-2.89298,0,0,0,Maze4,const_contra_visual,0,BCS11,0.008345000000000269,29.189866120696625
91263,1689836986743,-3.250243,0.219,0.39951,0,0,0,Maze3,visual_only,0,BCS11,0.016671099999999994,20.93857313897228
97266,1689837109125,0.391298,0.219,0.7541992,0,0,0,Maze2,audio_only,0,BCS11,0.00624199999999997,34.92126852203918
98874,1689837156293,-3.416749,0.219,-2.822505,0,0,0,Maze4,contra_visual,0,BCS11,0.008338000000000179,19.286858833195108
100211,1689837184760,0.5289791,0.219,0.7795727,0,0,0,Maze1,const_contra_audio2,0,BCS11,0.008353000000000055,17.25226133878288
103755,1689837257860,-3.078454,0.2189994,-2.945345,0,0,0,Maze4,invisible,0,BCS11,0.008335999999999899,22.352825753389
106861,1689837327744,0.5345325,0.219,-2.777115,0,0,0,Maze2,contra_visual,0,BCS11,0.008323999999999998,33.69103537637701
107697,1689837362010,-3.326131,0.219,-2.794876,0,0,0,Maze4,contra_audio,0,BCS11,0.016645999999999717,16.59559353535388
108464,1689837379677,0.5179997,0.219,-2.77521,0,0,0,Maze2,const_contra_audio2,0,BCS11,0.008323999999999998,19.650722715424276
114493,1689837505476,-2.955866,0.2189985,-1.305011,0,0,0,Maze3,invisible,0,BCS11,0.008323353951382803,44.69501049211355
115383,1689837529161,0.4520361,0.219,-2.794065,0,0,0,Maze2,all,0,BCS11,0.008323999999999998,18.759787842068864
117304,1689837572062,-3.290323,0.219,0.3860525,0,0,0,Maze3,contra_visual,0,BCS11,0.008347800000000016,20.94255934475927
118010,1689837591559,-3.502052,0.219,-2.877126,0,0,0,Maze4,const_contra_audio2,0,BCS11,0.008345000000000269,15.909957914652754
118798,1689837609993,0.4773129,0.219,-2.781802,0,0,0,Maze2,contra_audio,0,BCS11,0.008322999999999858,20.330916891678378
121341,1689837664793,0.5261818,0.2189997,0.7959614,0,0,0,Maze1,invisible,0,BCS11,0.006658700000000017,29.602915407804545
122090,1689837688943,-3.238318,0.219,0.3913802,0,0,0,Maze3,const_contra_audio2,0,BCS11,0.008332400000000018,14.485545714796617
122696,1689837713126,0.5331571,0.219,0.7658921,0,0,0,Maze1,visual_only,0,BCS11,0.008323200000000086,15.663041881756431
123437,1689837732443,-3.179375,0.219,0.4348871,0,0,0,Maze3,all,0,BCS11,0.016710800000000026,14.585747914737938
127610,1689837820259,0.5172167,0.219,0.7994101,0,0,0,Maze1,audio_only,0,BCS11,0.002500399999999958,21.469927700213805
129853,1689837875494,0.4736691,0.219,-2.785644,0,0,0,Maze2,invisible,0,BCS11,0.008344999999999825,31.861302191107928
130470,1689837896477,0.5429047,0.219,0.7536687,0,0,0,Maze1,contra_audio,0,BCS11,0.008347500000000063,13.218318380722316
132720,1689837961577,-3.284137,0.219,0.3833196,0,0,0,Maze3,audio_only,0,BCS11,0.008350299999999977,17.232573434636045
137067,1689838062809,0.5741919,0.219,0.9830999,0,0,0,Maze1,const_contra_visual,0,BCS11,0.01669060000029957,29.01603307702126
141743,1689838164476,-3.156283,0.219,-2.842739,0,0,0,Maze4,audio_only,0,BCS11,0.0045799999999998064,31.2148398398435
142559,1689838185910,0.4826417,0.219,-2.783952,0,0,0,Maze2,visual_only,0,BCS11,0.008323000000000302,19.782699068797964
143138,1689838202909,0.5324764,0.219,0.7821999,0,0,0,Maze1,all,0,BCS11,0.008323199999999975,14.71499586229002
143840,1689838221127,-3.306755,0.219,0.3805173,0,0,0,Maze3,contra_audio,0,BCS11,0.008323199999999975,14.394819147966638
144499,1689838236359,-3.272425,0.219,-2.792137,0,0,0,Maze4,all,0,BCS11,0.008323999999999998,15.890088331646252
