maze_type,condition,collision_number,success_maze,completion_time
Maze3,contra_visual,3,1,43.43638
Maze1,all,0,1,29.29978
Maze3,contra_audio,0,1,31.13322
Maze1,invisible,6,0,120.0826
Maze2,const_contra_audio2,0,1,31.36649
Maze3,invisible,0,1,54.91635
Maze2,contra_visual,3,1,47.01645
Maze3,visual_only,0,1,19.91656
Maze2,all,0,1,20.01654
Maze4,contra_visual,4,1,37.96652
Maze1,visual_only,0,1,17.91653
Maze4,invisible,0,1,33.54987
Maze1,const_contra_audio2,0,1,16.69989
Maze2,const_contra_visual,13,0,120.7827
Maze1,contra_visual,0,1,32.53314
Maze3,const_contra_audio2,0,1,18.94989
Maze4,audio_only,4,0,120.7327
Maze3,all,0,1,22.33319
Maze4,visual_only,0,1,18.1499
Maze1,audio_only,2,1,66.03302
Maze4,const_contra_visual,7,0,120.5994
Maze2,visual_only,0,1,18.26648
Maze4,all,0,1,18.33313
Maze1,contra_audio,0,1,15.7666
Maze3,const_contra_visual,5,0,120.9661
Maze2,audio_only,1,1,96.49951
Maze1,const_contra_visual,1,1,41.03308
Maze2,invisible,3,0,120.0994
Maze4,const_contra_audio2,0,1,16.24988
Maze2,contra_audio,0,1,24.43323
Maze3,audio_only,1,1,44.44983
Maze4,contra_audio,0,1,15.96655
