maze_type,condition,collision_number,success_maze,completion_time
Maze2,const_contra_visual,8,0,120.3366
Maze4,visual_only,0,1,16.16663
Maze1,contra_visual,21,1,40.98337
Maze4,const_contra_visual,1,1,60.35004
Maze3,visual_only,3,1,17.03333
Maze2,audio_only,0,0,120.05
Maze4,contra_visual,3,1,31.41663
Maze1,const_contra_audio2,0,1,26.59991
Maze4,invisible,5,1,70.86652
Maze2,contra_visual,4,1,61.73334
Maze4,contra_audio,0,1,15.81671
Maze2,const_contra_audio2,0,1,15.29999
Maze3,invisible,20,0,120.5833
Maze2,all,0,1,17.2666
Maze3,contra_visual,0,1,38.03333
Maze4,const_contra_audio2,1,1,13.81677
Maze2,contra_audio,0,1,14.93335
Maze1,invisible,4,1,49.93335
Maze3,const_contra_audio2,0,1,14.31665
Maze1,visual_only,0,1,11.5
Maze3,all,0,1,14.63342
Maze1,audio_only,2,1,82.96631
Maze2,invisible,0,1,44.16675
Maze1,contra_audio,0,1,11.46667
Maze3,audio_only,0,1,44.79993
Maze1,const_contra_visual,2,1,86.06665
Maze4,audio_only,0,1,92.5332
Maze2,visual_only,0,1,16.28345
Maze1,all,0,1,11.1333
Maze3,contra_audio,0,1,13.78333
Maze4,all,0,1,12.96655
Maze3,const_contra_visual,4,1,49.4668
