maze_type,condition,collision_number,success_maze,completion_time
Maze3,contra_visual,3,1,22.28668
Maze1,all,0,1,24.70001
Maze3,contra_audio,1,1,17.59998
Maze1,invisible,0,1,35.23331
Maze2,const_contra_audio2,0,1,17.95001
Maze3,invisible,5,1,40.58328
Maze2,contra_visual,9,1,110.9666
Maze3,visual_only,0,1,14.51666
Maze2,all,0,1,18.29999
Maze4,contra_visual,0,1,12.1001
Maze1,visual_only,0,1,13.16669
Maze4,invisible,9,0,120.7166
Maze1,const_contra_audio2,0,1,12.1167
Maze2,const_contra_visual,10,1,45.74994
Maze1,contra_visual,12,1,33.08337
Maze3,const_contra_audio2,1,1,20.13336
Maze4,audio_only,6,0,120.2499
Maze3,all,0,1,17.19995
Maze4,visual_only,1,1,15.31671
Maze1,audio_only,4,1,63.83337
Maze4,const_contra_visual,12,1,38.2832
Maze2,visual_only,0,1,15.46667
Maze4,all,0,1,12.53333
Maze1,contra_audio,0,1,12.44995
Maze3,const_contra_visual,6,1,51.58337
Maze2,audio_only,3,0,120.2832
Maze1,const_contra_visual,3,1,43.6001
Maze2,invisible,24,0,120.1333
Maze4,const_contra_audio2,0,1,15.16675
Maze2,contra_audio,0,1,17.40002
Maze3,audio_only,6,0,120.6499
Maze4,contra_audio,0,1,14.23328
