time,x,y,z,rx,ry,rz,maze_type,condition,collision_status
1689672189663,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,6
1689672189668,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672189719,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672189769,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672189769,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672189786,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672189802,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672189819,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672189852,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672189868,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672189885,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672189919,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672189921,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672189952,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672189969,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672189985,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190002,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190019,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190051,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190069,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190086,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190103,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190119,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190153,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190169,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190186,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190203,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190219,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190253,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190269,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190286,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190301,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190319,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190353,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190369,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190386,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190403,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190419,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190453,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190469,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190485,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190503,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190520,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190552,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190570,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190585,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190601,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190619,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190653,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190668,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190686,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
1689672190702,-0.59,0.219,0.86,0,0,0,Maze4,const_contra_audio2,0
