maze_type,condition,collision_number,success_maze,completion_time
Maze4,const_contra_audio2,0,1,24.28665
Maze3,const_contra_visual,0,1,30.28336
Maze2,contra_visual,2,1,82.28333
Maze3,const_contra_audio2,0,1,16.60004
Maze1,all,0,1,14.51666
Maze2,contra_audio,0,1,18.03333
Maze4,const_contra_visual,0,1,26.81668
Maze1,contra_audio,0,1,16.61667
Maze2,all,0,1,18.66669
Maze1,const_contra_visual,2,0,120.9666
Maze3,contra_visual,0,1,29.3667
Maze1,visual_only,0,1,13.71667
Maze3,invisible,0,1,22.65002
Maze4,contra_audio,0,1,15.26666
Maze2,const_contra_audio2,0,1,19.98334
Maze3,audio_only,0,0,120.9335
Maze4,all,0,1,14.16669
Maze1,contra_visual,4,1,66.3999
Maze3,all,0,1,19.20007
Maze2,invisible,2,1,79.43335
Maze1,audio_only,3,1,53.20001
Maze4,visual_only,0,1,14.1167
Maze3,contra_audio,0,1,17.76672
Maze2,audio_only,1,0,120.1666
Maze4,contra_visual,0,1,17.28333
Maze2,const_contra_visual,2,1,32.08337
Maze1,invisible,0,1,29.46655
Maze2,visual_only,0,1,17.11658
Maze4,audio_only,0,1,56.3833
Maze3,visual_only,0,1,16.55005
Maze4,invisible,0,1,16.26672
Maze1,const_contra_audio2,0,1,13.96667
