time,x,y,z,rx,ry,rz,maze_type,condition,collision_status
1689698428316,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,6
1689698428321,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428359,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428376,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428392,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428409,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428425,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428458,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428476,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428492,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428511,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428526,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428559,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428576,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428592,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428609,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428626,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428660,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428676,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428692,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428709,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428726,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428760,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428776,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428792,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428809,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428825,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428859,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428875,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428892,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428908,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428926,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428958,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428975,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698428992,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698429009,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698429025,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689698429058,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
