maze_type,condition,collision_number,success_maze,completion_time
Maze1,const_contra_audio2,0,1,26.35327
Maze2,all,0,1,31.3833
Maze3,visual_only,0,1,21.3833
Maze2,audio_only,1,0,120.3167
Maze3,all,0,1,24.34998
Maze1,visual_only,0,1,20.04993
Maze3,contra_audio,0,1,23.15002
Maze2,visual_only,0,1,20.70001
Maze1,contra_visual,0,1,27.71661
Maze4,invisible,0,1,22.25006
Maze2,const_contra_audio2,0,1,22.7666
Maze4,all,0,1,19.91663
Maze1,audio_only,2,1,58.93335
Maze4,visual_only,0,1,16.65002
Maze1,const_contra_visual,0,1,29.59998
Maze3,invisible,2,1,40.6333
Maze4,contra_visual,0,1,17.6001
Maze2,const_contra_visual,1,1,92.58325
Maze4,audio_only,0,1,24.9834
Maze1,invisible,0,1,18.84998
Maze4,contra_audio,0,1,15.58325
Maze2,contra_visual,0,1,44.73328
Maze3,const_contra_visual,0,1,109.2665
Maze4,const_contra_audio2,0,1,18.61682
Maze1,contra_audio,0,1,14.76672
Maze3,const_contra_audio2,0,1,19.73328
Maze4,const_contra_visual,0,1,21.5
Maze3,audio_only,0,1,31.24988
Maze1,all,0,1,15.3667
Maze2,contra_audio,1,1,20.8667
Maze3,contra_visual,0,1,28.86658
Maze2,invisible,0,1,78.2832
