maze_type,condition,collision_number,success_maze,completion_time
Maze1,contra_visual,2,1,46.73639
Maze4,all,0,1,19.61658
Maze3,const_contra_visual,1,0,120.3327
Maze1,invisible,0,1,56.86627
Maze4,contra_audio,0,1,17.28326
Maze1,const_contra_audio2,0,1,14.66663
Maze3,contra_visual,0,1,85.39948
Maze2,contra_audio,0,1,19.23334
Maze4,contra_visual,0,1,25.83325
Maze3,contra_audio,0,1,16.23315
Maze4,const_contra_visual,0,1,28.14978
Maze2,invisible,2,0,120.3661
Maze3,const_contra_audio2,0,1,18.2666
Maze1,visual_only,0,1,14.41663
Maze4,invisible,0,1,39.28308
Maze2,all,0,1,18.2666
Maze1,audio_only,0,1,67.89966
Maze4,visual_only,0,1,15.5332
Maze1,all,0,1,12.98315
Maze2,visual_only,0,1,17.11658
Maze4,audio_only,0,1,30.23315
Maze2,const_contra_visual,0,1,102.5494
Maze4,const_contra_audio2,0,1,15.41663
Maze2,audio_only,0,0,120.616
Maze3,invisible,1,1,28.43323
Maze2,contra_visual,1,1,51.43298
Maze1,contra_audio,0,1,12.56665
Maze3,all,0,1,16.21667
Maze2,const_contra_audio2,0,1,17.63318
Maze3,audio_only,0,1,33.31641
Maze1,const_contra_visual,0,1,39.63318
Maze3,visual_only,0,1,14.68335
