maze_type,condition,collision_number,success_maze,completion_time
Maze2,const_contra_visual,7,0,120.7194
Maze4,visual_only,0,1,22.34985
Maze1,contra_visual,1,1,107.9827
Maze4,const_contra_visual,0,1,36.44977
Maze3,visual_only,0,1,27.53326
Maze2,audio_only,1,0,120.5162
Maze4,contra_visual,1,1,32.48315
Maze1,const_contra_audio2,0,1,35.26648
Maze4,invisible,1,1,25.96655
Maze2,contra_visual,0,1,61.23291
Maze4,contra_audio,0,1,19.71655
Maze2,const_contra_audio2,0,1,24.0332
Maze3,invisible,1,1,53.81641
Maze2,all,0,1,26.53308
Maze3,contra_visual,1,1,32.38318
Maze4,const_contra_audio2,0,1,20.6665
Maze2,contra_audio,0,1,22.94995
Maze1,invisible,0,1,36.99976
Maze3,const_contra_audio2,0,1,20.44983
Maze1,visual_only,0,1,17.44995
Maze3,all,0,1,24.9165
Maze1,audio_only,2,1,69.66626
Maze2,invisible,3,0,120.316
Maze1,contra_audio,0,1,17.24988
Maze3,audio_only,0,1,43.51648
Maze1,const_contra_visual,0,1,28.06653
Maze4,audio_only,0,1,24.49988
Maze2,visual_only,0,1,19.49988
Maze1,all,0,1,16.84985
Maze3,contra_audio,0,1,20.56653
Maze4,all,0,1,17.04993
Maze3,const_contra_visual,0,1,36.41638
