time,x,y,z,rx,ry,rz,maze_type,condition,collision_status
1692172327017,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,6
1692172327019,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327047,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327064,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327097,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327114,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327130,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327147,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327164,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327197,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327214,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327230,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327247,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327264,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327297,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327314,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327331,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327347,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327364,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327397,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327414,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327431,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327447,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327464,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327497,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327514,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327530,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327547,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327564,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327597,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327614,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327630,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327647,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327664,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327696,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1692172327714,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
