maze_type,condition,collision_number,success_maze,completion_time
Maze1,const_contra_audio2,0,1,23.30319
Maze3,contra_audio,0,1,22.34985
Maze2,const_contra_visual,10,0,120.5326
Maze1,visual_only,0,1,11.18329
Maze2,all,0,1,21.36652
Maze4,invisible,0,1,23.88318
Maze3,const_contra_visual,3,1,53.46631
Maze4,visual_only,0,1,15.36658
Maze3,contra_visual,0,1,23.23322
Maze1,const_contra_visual,2,1,32.24988
Maze4,const_contra_audio2,0,1,12.93323
Maze3,invisible,7,1,56.66632
Maze2,audio_only,12,0,120.6993
Maze3,const_contra_audio2,0,1,16.24988
Maze2,visual_only,0,1,16.89984
Maze4,contra_audio,0,1,13.99994
Maze3,visual_only,0,1,14.36658
Maze2,contra_audio,0,1,16.31653
Maze4,const_contra_visual,2,1,39.86652
Maze1,all,0,1,13.69983
Maze2,const_contra_audio2,0,1,16.83313
Maze3,all,0,1,14.1665
Maze1,contra_audio,0,1,12.44995
Maze2,invisible,5,1,62.68298
Maze1,contra_visual,9,1,37.84973
Maze4,all,0,1,15.31665
Maze1,audio_only,7,0,120.616
Maze4,contra_visual,0,1,18.28333
Maze1,invisible,2,1,27.48328
Maze3,audio_only,7,1,41.64978
Maze2,contra_visual,6,1,36.93311
Maze4,audio_only,4,1,32.43311
