maze_type,condition,collision_number,success_maze,completion_time
Maze3,contra_visual,7,1,31.27
Maze1,all,0,1,17.75001
Maze3,contra_audio,5,1,31.21669
Maze1,invisible,0,1,30.59984
Maze2,const_contra_audio2,2,1,17.53338
Maze3,invisible,7,1,109.4166
Maze2,contra_visual,5,1,34.33337
Maze3,visual_only,0,1,13.5
Maze2,all,3,1,14.73337
Maze4,contra_visual,7,1,27.43335
Maze1,visual_only,3,1,11.94995
Maze4,invisible,0,1,24
Maze1,const_contra_audio2,0,1,14.18332
Maze2,const_contra_visual,24,1,113.9666
Maze1,contra_visual,28,0,120.1167
Maze3,const_contra_audio2,0,1,13.15002
Maze4,audio_only,7,1,69.33337
Maze3,all,2,1,14.93335
Maze4,visual_only,4,1,12.46661
Maze1,audio_only,4,1,56.25
Maze4,const_contra_visual,0,1,22.1333
Maze2,visual_only,5,1,14.46661
Maze4,all,1,1,12.60004
Maze1,contra_audio,0,1,13.93329
Maze3,const_contra_visual,5,1,83.34998
Maze2,audio_only,4,0,120.3832
Maze1,const_contra_visual,6,1,70.03333
Maze2,invisible,2,1,64.18335
Maze4,const_contra_audio2,0,1,11.1333
Maze2,contra_audio,3,1,14.2666
Maze3,audio_only,0,1,21.8833
Maze4,contra_audio,0,1,16.53345
