time,x,y,z,rx,ry,rz,maze_type,condition,collision_status
1689844718775,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,1
1689844718807,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,6
1689844718826,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844718841,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844718857,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844718873,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844718890,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844718924,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844718941,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844718957,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844718974,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844718991,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844719025,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844719041,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844719058,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844719074,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844719091,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844719125,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844719141,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844719157,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844719175,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844719191,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844719224,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844719241,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
1689844719257,0.62,0.219,-1.23,0,0,0,Maze1,const_contra_audio2,0
