maze_type,condition,collision_number,success_maze,completion_time
Maze1,const_contra_audio2,0,1,18.18665
Maze2,all,0,1,19.26666
Maze3,visual_only,0,1,19.35001
Maze2,audio_only,2,0,120.3166
Maze3,all,0,1,17.21667
Maze1,visual_only,0,1,15.58331
Maze3,contra_audio,0,1,17.54999
Maze2,visual_only,0,1,15.73346
Maze1,contra_visual,3,1,42.96667
Maze4,invisible,1,1,33.84998
Maze2,const_contra_audio2,0,1,15.43323
Maze4,all,0,1,14.35004
Maze1,audio_only,0,1,77.69995
Maze4,visual_only,0,1,14.18335
Maze1,const_contra_visual,2,1,26.89996
Maze3,invisible,0,1,23.06665
Maze4,contra_visual,0,1,24.08325
Maze2,const_contra_visual,10,0,120.7501
Maze4,audio_only,3,1,82.1499
Maze1,invisible,1,1,33.8999
Maze4,contra_audio,0,1,14.16663
Maze2,contra_visual,3,1,27.8999
Maze3,const_contra_visual,3,1,39.38318
Maze4,const_contra_audio2,0,1,15.3667
Maze1,contra_audio,0,1,14.94995
Maze3,const_contra_audio2,0,1,17.08337
Maze4,const_contra_visual,0,1,18.63342
Maze3,audio_only,10,0,120.1333
Maze1,all,0,1,15.23328
Maze2,contra_audio,0,1,17.73352
Maze3,contra_visual,1,1,33.45007
Maze2,invisible,3,1,35.59998
