maze_type,condition,collision_number,success_maze,completion_time
Maze1,const_contra_audio2,0,1,25.32007
Maze2,all,0,1,24.55005
Maze3,visual_only,0,1,20.49994
Maze2,audio_only,21,0,120.8166
Maze3,all,0,1,25.29999
Maze1,visual_only,0,1,16.93335
Maze3,contra_audio,0,1,21.58344
Maze2,visual_only,0,1,23.46661
Maze1,contra_visual,3,1,66.20001
Maze4,invisible,21,0,120.3333
Maze2,const_contra_audio2,0,1,23.34998
Maze4,all,0,1,18.53333
Maze1,audio_only,6,1,104.2
Maze4,visual_only,0,1,19.76672
Maze1,const_contra_visual,14,1,105.9666
Maze3,invisible,8,1,49.66675
Maze4,contra_visual,15,1,97.58337
Maze2,const_contra_visual,18,0,120.4333
Maze4,audio_only,10,0,120.7666
Maze1,invisible,4,1,43.6333
Maze4,contra_audio,0,1,20.54993
Maze2,contra_visual,13,1,53.90002
Maze3,const_contra_visual,20,0,120.1
Maze4,const_contra_audio2,0,1,16.25
Maze1,contra_audio,1,1,21.88342
Maze3,const_contra_audio2,0,1,20.5166
Maze4,const_contra_visual,0,1,40
Maze3,audio_only,12,1,108.1333
Maze1,all,0,1,14.68335
Maze2,contra_audio,7,1,38.31665
Maze3,contra_visual,4,1,45.94995
Maze2,invisible,15,1,106.5168
