maze_type,condition,collision_number,success_maze,completion_time
Maze2,contra_visual,12,1,81.82013
Maze4,const_contra_visual,16,0,120.5835
Maze1,invisible,13,1,63.80017
Maze4,contra_audio,0,1,12.8667
Maze3,visual_only,0,1,14.41675
Maze4,all,1,1,16.95007
Maze2,visual_only,3,1,18.15009
Maze4,contra_visual,0,1,17.08331
Maze2,contra_audio,2,1,21.23346
Maze1,audio_only,0,1,85.18347
Maze3,const_contra_visual,24,0,120.3835
Maze2,const_contra_audio2,0,1,15.16669
Maze4,audio_only,1,1,32.4668
Maze2,all,0,1,16.88336
Maze1,contra_audio,4,1,13.50006
Maze3,all,2,1,14.3667
Maze4,visual_only,0,1,14.51672
Maze1,all,2,1,12.68347
Maze4,invisible,12,1,69.70007
Maze3,contra_audio,2,1,15.7334
Maze1,contra_visual,29,1,99.31689
Maze3,const_contra_audio2,0,1,13.7334
Maze1,visual_only,0,1,15.3833
Maze3,audio_only,1,1,27.45007
Maze2,const_contra_visual,26,0,120.9502
Maze3,contra_visual,6,1,25.3667
Maze1,const_contra_visual,34,0,120.7834
Maze2,invisible,21,0,120.6669
Maze1,const_contra_audio2,0,1,14.21667
Maze2,audio_only,14,0,120.2169
Maze3,invisible,18,1,108.6001
Maze4,const_contra_audio2,0,1,14.59998
