maze_type,condition,collision_number,success_maze,completion_time
Maze1,contra_visual,3,0,120.7693
Maze4,all,0,1,24.33319
Maze3,const_contra_visual,0,0,120.2328
Maze1,invisible,3,1,79.21619
Maze4,contra_audio,0,1,27.83319
Maze1,const_contra_audio2,0,1,19.48322
Maze3,contra_visual,0,1,25.93323
Maze2,contra_audio,0,1,23.69995
Maze4,contra_visual,0,1,26.71655
Maze3,contra_audio,0,1,21.23315
Maze4,const_contra_visual,0,0,120.6327
Maze2,invisible,0,1,113.7661
Maze3,const_contra_audio2,0,1,22.63318
Maze1,visual_only,0,1,16.61658
Maze4,invisible,2,1,38.83313
Maze2,all,0,1,22.23328
Maze1,audio_only,0,0,120.2826
Maze4,visual_only,0,1,20.31665
Maze1,all,0,1,18.23315
Maze2,visual_only,0,1,22.33325
Maze4,audio_only,0,1,34.7832
Maze2,const_contra_visual,0,0,120.2661
Maze4,const_contra_audio2,0,1,20.33313
Maze2,audio_only,0,0,120.7993
Maze3,invisible,2,1,58.91638
Maze2,contra_visual,0,1,39.54968
Maze1,contra_audio,0,1,15.34985
Maze3,all,0,1,20.73328
Maze2,const_contra_audio2,0,1,19.34985
Maze3,audio_only,0,1,81.99951
Maze1,const_contra_visual,0,0,120.6495
Maze3,visual_only,0,1,20.33301
