maze_type,condition,collision_number,success_maze,completion_time
Maze2,const_contra_visual,4,0,120.586
Maze4,visual_only,0,1,16.23322
Maze1,contra_visual,12,0,120.366
Maze4,const_contra_visual,7,1,81.24951
Maze3,visual_only,0,1,16.0498
Maze2,audio_only,0,0,120.4993
Maze4,contra_visual,0,1,96.43274
Maze1,const_contra_audio2,0,1,16
Maze4,invisible,0,1,20.49988
Maze2,contra_visual,0,1,45.31641
Maze4,contra_audio,0,1,12.69995
Maze2,const_contra_audio2,5,1,15.29993
Maze3,invisible,2,1,35.31665
Maze2,all,0,1,15.48328
Maze3,contra_visual,0,1,26.38306
Maze4,const_contra_audio2,0,1,14.01648
Maze2,contra_audio,4,1,16.63318
Maze1,invisible,2,1,46.73303
Maze3,const_contra_audio2,4,1,14.25
Maze1,visual_only,0,1,10.08337
Maze3,all,0,1,13.46655
Maze1,audio_only,3,1,90.69946
Maze2,invisible,3,0,120.9991
Maze1,contra_audio,1,1,10.1499
Maze3,audio_only,0,1,48.21643
Maze1,const_contra_visual,0,1,101.8662
Maze4,audio_only,1,0,120.3494
Maze2,visual_only,4,1,13.21655
Maze1,all,0,1,9.81665
Maze3,contra_audio,5,1,13.4668
Maze4,all,1,1,15.5166
Maze3,const_contra_visual,2,0,120.6995
