time,x,y,z,rx,ry,rz,maze_type,condition,collision_status
1689680574563,0.62,0.219,0.83,0,0,0,Maze2,visual_only,6
1689680574568,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574601,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574617,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574634,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574651,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574684,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574701,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574718,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574734,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574751,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574784,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574801,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574818,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574834,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574851,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574884,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574901,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574917,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574935,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574952,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680574985,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680575002,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680575018,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680575035,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680575052,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
1689680575084,0.62,0.219,0.83,0,0,0,Maze2,visual_only,0
