maze_type,condition,collision_number,success_maze,completion_time
Maze2,visual_only,0,1,45.48666
Maze1,const_contra_audio2,0,1,14.08337
Maze3,all,0,1,15.16669
Maze4,const_contra_visual,10,1,36.01669
Maze1,contra_visual,18,1,47.34995
Maze3,contra_audio,0,1,14.91672
Maze1,visual_only,0,1,12.63336
Maze3,contra_visual,5,1,21.05017
Maze2,const_contra_visual,5,1,28.76666
Maze3,invisible,6,1,32.7666
Maze2,contra_audio,0,1,15.66669
Maze1,const_contra_visual,0,1,30.6167
Maze2,audio_only,9,0,120.4167
Maze1,invisible,10,1,86.16656
Maze3,audio_only,0,1,25.83344
Maze4,const_contra_audio2,0,1,12.55005
Maze3,const_contra_visual,6,1,26.25
Maze4,contra_visual,6,1,22.78333
Maze3,visual_only,0,1,12.84998
Maze1,audio_only,0,1,27.53326
Maze4,visual_only,0,1,12.18335
Maze2,const_contra_audio2,0,1,12.98328
Maze1,all,0,1,10.51672
Maze4,contra_audio,0,1,11.88342
Maze2,all,0,1,12.68335
Maze1,contra_audio,1,1,10.2168
Maze4,all,0,1,11.7334
Maze3,const_contra_audio2,0,1,13.70007
Maze2,invisible,10,1,37.41663
Maze4,audio_only,0,1,24.81665
Maze2,contra_visual,8,1,33.8833
Maze4,invisible,10,1,32.8667
