maze_type,condition,collision_number,success_maze,completion_time
Maze1,contra_visual,13,1,76.10291
Maze4,all,0,1,17.48328
Maze3,const_contra_visual,21,0,120.1993
Maze1,invisible,5,1,52.79974
Maze4,contra_audio,2,1,24.31653
Maze1,const_contra_audio2,1,1,48.23303
Maze3,contra_visual,7,1,43.43311
Maze2,contra_audio,0,1,18.21661
Maze4,contra_visual,12,1,118.466
Maze3,contra_audio,0,1,19.74988
Maze4,const_contra_visual,5,1,36.36633
Maze2,invisible,5,1,98.66614
Maze3,const_contra_audio2,0,1,17.54993
Maze1,visual_only,2,1,16.46655
Maze4,invisible,0,1,17.98328
Maze2,all,3,1,16.29993
Maze1,audio_only,1,1,45.64978
Maze4,visual_only,0,1,17.03333
Maze1,all,0,1,13.71655
Maze2,visual_only,0,1,17.51672
Maze4,audio_only,6,0,120.0493
Maze2,const_contra_visual,11,0,120.866
Maze4,const_contra_audio2,0,1,19.29993
Maze2,audio_only,0,0,120.4327
Maze3,invisible,6,0,120.8993
Maze2,contra_visual,3,1,36.58313
Maze1,contra_audio,0,1,20.96655
Maze3,all,2,1,14.8999
Maze2,const_contra_audio2,0,1,18.44983
Maze3,audio_only,16,0,120.6992
Maze1,const_contra_visual,6,1,60.96655
Maze3,visual_only,0,1,15.0166
