maze_type,condition,collision_number,success_maze,completion_time
Maze4,const_contra_audio2,0,1,26.38647
Maze3,const_contra_visual,0,1,37.98315
Maze2,contra_visual,9,1,39.38312
Maze3,const_contra_audio2,0,1,19.09991
Maze1,all,0,1,24.59991
Maze2,contra_audio,0,1,24.46655
Maze4,const_contra_visual,22,0,120.1161
Maze1,contra_audio,0,1,18.2832
Maze2,all,0,1,26.46643
Maze1,const_contra_visual,9,1,108.8328
Maze3,contra_visual,4,1,33.01648
Maze1,visual_only,0,1,14.43335
Maze3,invisible,3,1,32.74976
Maze4,contra_audio,0,1,18.51648
Maze2,const_contra_audio2,0,1,19.69983
Maze3,audio_only,0,1,29.68323
Maze4,all,0,1,15.84998
Maze1,contra_visual,12,1,72.91626
Maze3,all,0,1,17.11658
Maze2,invisible,11,1,114.166
Maze1,audio_only,3,1,70.13293
Maze4,visual_only,0,1,17.98315
Maze3,contra_audio,0,1,18.7666
Maze2,audio_only,5,0,120.6327
Maze4,contra_visual,0,1,19.27917
Maze2,const_contra_visual,32,0,120.042
Maze1,invisible,14,0,120.916
Maze2,visual_only,0,1,20.31665
Maze4,audio_only,9,0,120.3494
Maze3,visual_only,0,1,21.33325
Maze4,invisible,2,1,45.69971
Maze1,const_contra_audio2,0,1,17.3999
