time,x,y,z,rx,ry,rz,maze_type,condition,collision_status
1689666004315,0.62,0.219,-1.23,0,0,0,Maze1,invisible,6
1689666004319,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004363,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004380,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004413,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004429,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004446,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004463,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004480,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004513,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004530,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004546,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004564,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004580,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004613,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004630,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004647,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004664,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004680,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004714,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004731,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004747,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004762,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004779,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004812,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004830,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004847,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004863,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004879,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004913,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004930,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004946,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004963,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666004979,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005012,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005030,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005046,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005062,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005079,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005113,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005130,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005146,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005163,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005180,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005213,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005230,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005246,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005264,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005280,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005313,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005330,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005346,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005363,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005379,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005413,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005430,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005446,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005463,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005479,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005512,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005529,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005546,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005563,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005580,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005613,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005630,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005646,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005662,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005679,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005712,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005729,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005746,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005762,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005779,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005813,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005829,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005846,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005862,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005879,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005913,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005930,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005946,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005962,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666005980,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006013,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006029,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006046,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006062,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006079,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006113,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006130,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006146,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006163,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006180,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006213,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006229,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006246,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006263,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006279,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006313,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006330,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006346,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006363,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006379,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006413,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689666006430,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
