maze_type,condition,collision_number,success_maze,completion_time
Maze3,contra_audio,0,1,30.45319
Maze1,invisible,0,1,37.61646
Maze4,const_contra_visual,0,1,42.99976
Maze1,const_contra_audio2,0,1,20.28326
Maze2,audio_only,1,1,118.7159
Maze1,const_contra_visual,2,1,101.3994
Maze4,contra_audio,0,1,16.0166
Maze3,visual_only,0,1,17.09998
Maze1,contra_audio,0,1,15.78333
Maze2,invisible,3,0,120.3826
Maze4,all,0,1,23.34985
Maze2,visual_only,0,1,24.51648
Maze3,all,0,1,25.86646
Maze2,const_contra_visual,7,0,120.5659
Maze1,contra_visual,0,1,35.53308
Maze3,invisible,0,1,53.71643
Maze4,contra_visual,0,1,17.69995
Maze3,audio_only,0,1,68.24963
Maze1,visual_only,0,1,15.23328
Maze3,const_contra_visual,1,1,42.38306
Maze2,all,0,1,18.58313
Maze4,const_contra_audio2,0,1,12.83325
Maze2,contra_audio,0,1,17.2666
Maze4,invisible,0,1,18.5332
Maze2,const_contra_audio2,0,1,16.5332
Maze1,all,0,1,12.31653
Maze4,audio_only,0,1,41.34973
Maze2,contra_visual,1,1,66.36633
Maze4,visual_only,2,1,12.11658
Maze3,const_contra_audio2,0,1,17.34998
Maze1,audio_only,0,1,77.58289
Maze3,contra_visual,0,1,20.94983
