time,x,y,z,rx,ry,rz,maze_type,condition,collision_status
1689841080501,0.62,0.219,-1.23,0,0,0,Maze1,invisible,6
1689841080506,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080544,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080559,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080593,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080610,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080626,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080643,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080660,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080692,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080710,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080726,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080743,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080761,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080793,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080810,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080827,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080843,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080859,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080891,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080909,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080925,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080942,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080959,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841080991,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841081010,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841081025,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841081042,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
1689841081059,0.62,0.219,-1.23,0,0,0,Maze1,invisible,0
