maze_type,condition,collision_number,success_maze,completion_time
Maze1,invisible,2,1,47.55325
Maze2,contra_audio,0,1,21.83331
Maze4,audio_only,7,0,120.9332
Maze1,visual_only,0,1,14.19995
Maze4,invisible,0,1,18.54999
Maze2,audio_only,3,0,120.9999
Maze4,visual_only,0,1,15.25
Maze3,const_contra_visual,4,1,31.96661
Maze4,const_contra_audio2,0,1,14.46661
Maze3,contra_visual,5,1,28.20001
Maze1,all,0,1,12.66669
Maze3,visual_only,0,1,17.11664
Maze4,contra_audio,0,1,14.18329
Maze1,audio_only,3,1,40.79999
Maze2,all,0,1,17.68329
Maze1,const_contra_audio2,0,1,13.18335
Maze2,contra_visual,4,1,67.70001
Maze1,contra_audio,2,1,13.5
Maze2,invisible,13,1,107.6167
Maze4,const_contra_visual,1,1,23.68335
Maze3,audio_only,1,1,32.08325
Maze4,all,0,1,15.81677
Maze1,const_contra_visual,2,1,24.95007
Maze2,visual_only,0,1,16.26672
Maze3,contra_audio,0,1,16.2666
Maze2,const_contra_visual,3,1,61.91663
Maze3,all,0,1,15.11658
Maze2,const_contra_audio2,1,1,26.95007
Maze3,invisible,1,1,30.83325
Maze1,contra_visual,3,1,15.68335
Maze3,const_contra_audio2,0,1,15.53333
Maze4,contra_visual,0,1,15.36658
