maze_type,condition,collision_number,success_maze,completion_time
Maze1,const_contra_audio2,0,1,23.22
Maze3,contra_audio,0,1,22.71666
Maze2,const_contra_visual,8,0,120.2333
Maze1,visual_only,0,1,23.29999
Maze2,all,0,1,19.98331
Maze4,invisible,0,1,45.24997
Maze3,const_contra_visual,0,0,120.7499
Maze4,visual_only,0,1,19.28326
Maze3,contra_visual,0,1,26.00006
Maze1,const_contra_visual,0,0,120.0665
Maze4,const_contra_audio2,0,1,21.25
Maze3,invisible,1,0,120.5167
Maze2,audio_only,0,0,120.5833
Maze3,const_contra_audio2,0,1,21.31653
Maze2,visual_only,0,1,18.79993
Maze4,contra_audio,0,1,15.41663
Maze3,visual_only,0,1,17.43335
Maze2,contra_audio,0,1,17.98315
Maze4,const_contra_visual,0,1,51.1333
Maze1,all,0,1,15.76672
Maze2,const_contra_audio2,0,1,16.0166
Maze3,all,0,1,17.41663
Maze1,contra_audio,0,1,14.83337
Maze2,invisible,0,0,120.0834
Maze1,contra_visual,4,1,72.08337
Maze4,all,0,1,17.66663
Maze1,audio_only,0,0,120.7833
Maze4,contra_visual,1,1,118.6832
Maze1,invisible,1,1,76.16663
Maze3,audio_only,0,0,120.2499
Maze2,contra_visual,0,1,112.6167
Maze4,audio_only,1,0,120.7333
