maze_type,condition,collision_number,success_maze,completion_time
Maze2,contra_visual,6,0,120.4369
Maze4,const_contra_visual,0,1,62.80011
Maze1,invisible,0,1,82.2168
Maze4,contra_audio,0,1,24.38342
Maze3,visual_only,0,1,19.8833
Maze4,all,0,1,17.25006
Maze2,visual_only,0,1,17.08344
Maze4,contra_visual,2,1,30.40002
Maze2,contra_audio,0,1,23.83344
Maze1,audio_only,1,0,120.2001
Maze3,const_contra_visual,1,1,60.81683
Maze2,const_contra_audio2,0,1,17.58337
Maze4,audio_only,1,1,24.68335
Maze2,all,0,1,22.63342
Maze1,contra_audio,0,1,21.20007
Maze3,all,0,1,19.80005
Maze4,visual_only,0,1,16.7666
Maze1,all,0,1,18.56665
Maze4,invisible,0,1,19.21667
Maze3,contra_audio,0,1,22.66663
Maze1,contra_visual,0,1,35.78345
Maze3,const_contra_audio2,0,1,21.41675
Maze1,visual_only,0,1,15.84998
Maze3,audio_only,0,1,32.45007
Maze2,const_contra_visual,0,1,91.5835
Maze3,contra_visual,0,1,26.94995
Maze1,const_contra_visual,0,1,33.83337
Maze2,invisible,0,1,113.6501
Maze1,const_contra_audio2,0,1,17.13342
Maze2,audio_only,0,1,74.96667
Maze3,invisible,0,1,24.09998
Maze4,const_contra_audio2,0,1,17.03345
