time,x,y,z,rx,ry,rz,maze_type,condition,collision_status
1689767264371,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264403,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,6
1689767264418,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264434,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264451,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264467,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264484,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264500,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264534,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264551,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264567,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264585,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264601,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264633,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264651,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264667,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264684,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264701,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264735,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264751,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264767,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264784,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264817,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264834,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264851,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264867,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264884,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264901,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264934,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264951,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264968,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767264984,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265001,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265034,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265051,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265067,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265084,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265101,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265134,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265151,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265167,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265184,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265200,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265234,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265250,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265267,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265284,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265318,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265333,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265351,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265367,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265384,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265417,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265434,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265451,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265467,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265484,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265500,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265534,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265550,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265567,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265586,0.62,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265617,0.6195843,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265634,0.6187495,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265651,0.6175013,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265668,0.6158347,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
1689767265684,0.6137546,0.219,0.83,0,0,0,Maze2,const_contra_visual,0
