maze_type,condition,collision_number,success_maze,completion_time
Maze2,const_contra_visual,6,1,54.51997
Maze4,visual_only,0,1,15.78338
Maze1,contra_visual,10,1,80.76664
Maze4,const_contra_visual,0,1,34.49998
Maze3,visual_only,0,1,17.73337
Maze2,audio_only,0,1,84.59998
Maze4,contra_visual,0,1,16.18341
Maze1,const_contra_audio2,0,1,17.96667
Maze4,invisible,0,1,22.99997
Maze2,contra_visual,6,1,40.81671
Maze4,contra_audio,0,1,18.4834
Maze2,const_contra_audio2,0,1,19.55002
Maze3,invisible,1,1,27.6167
Maze2,all,0,1,19.78339
Maze3,contra_visual,3,1,21.43329
Maze4,const_contra_audio2,0,1,14.70004
Maze2,contra_audio,0,1,15.29999
Maze1,invisible,1,1,25.43335
Maze3,const_contra_audio2,1,1,23.0166
Maze1,visual_only,0,1,14.25
Maze3,all,1,1,15.76666
Maze1,audio_only,0,1,46.94995
Maze2,invisible,36,0,120.3167
Maze1,contra_audio,0,1,15.19995
Maze3,audio_only,0,1,24.73334
Maze1,const_contra_visual,3,1,35.74994
Maze4,audio_only,0,1,29.78339
Maze2,visual_only,0,1,16.06671
Maze1,all,0,1,15.21667
Maze3,contra_audio,0,1,16.04999
Maze4,all,0,1,19.54999
Maze3,const_contra_visual,4,1,35.16663
