maze_type,condition,collision_number,success_maze,completion_time
Maze1,contra_visual,3,0,120.7859
Maze4,all,0,1,28.4165
Maze3,const_contra_visual,8,0,120.6993
Maze1,invisible,0,1,82.31616
Maze4,contra_audio,0,1,41.51636
Maze1,const_contra_audio2,0,1,32.11646
Maze3,contra_visual,0,0,120.8993
Maze2,contra_audio,0,1,37.58313
Maze4,contra_visual,0,1,45.99963
Maze3,contra_audio,0,1,29.7998
Maze4,const_contra_visual,2,1,116.9159
Maze2,invisible,0,1,48.73303
Maze3,const_contra_audio2,0,1,28.83325
Maze1,visual_only,0,1,24.88318
Maze4,invisible,0,1,93.83276
Maze2,all,0,1,38.03308
Maze1,audio_only,0,1,74.13293
Maze4,visual_only,0,1,20.68323
Maze1,all,0,1,21.1499
Maze2,visual_only,0,1,29.54968
Maze4,audio_only,0,1,112.916
Maze2,const_contra_visual,1,0,120.4659
Maze4,const_contra_audio2,0,1,22.34985
Maze2,audio_only,0,0,120.6827
Maze3,invisible,0,0,120.9658
Maze2,contra_visual,3,0,120.9661
Maze1,contra_audio,0,1,23.38306
Maze3,all,0,1,25.71655
Maze2,const_contra_audio2,0,1,25.59985
Maze3,audio_only,0,1,57.08301
Maze1,const_contra_visual,0,0,120.7993
Maze3,visual_only,0,1,30.48315
