maze_type,condition,collision_number,success_maze,completion_time
Maze3,const_contra_visual,1,0,120.736
Maze4,contra_audio,0,1,34.5498
Maze3,contra_visual,0,1,54.41638
Maze2,audio_only,0,0,120.5826
Maze4,all,0,1,23.36658
Maze1,const_contra_visual,2,0,120.2325
Maze2,const_contra_audio2,0,1,23.31653
Maze3,invisible,2,1,35.94983
Maze4,const_contra_audio2,0,1,22.46655
Maze2,contra_audio,0,1,23.43323
Maze1,invisible,0,1,18.19995
Maze3,visual_only,0,1,23.46655
Maze4,audio_only,0,1,29.43311
Maze2,invisible,0,1,83.13281
Maze1,visual_only,0,1,19.14978
Maze4,invisible,1,1,34.18323
Maze3,audio_only,0,1,74.21631
Maze1,contra_audio,0,1,17.56653
Maze2,visual_only,0,1,23.0332
Maze3,all,0,1,20.33313
Maze1,contra_visual,0,1,36.5498
Maze4,const_contra_visual,0,1,28.09973
Maze3,const_contra_audio2,0,1,20.71655
Maze2,contra_visual,0,1,54.29968
Maze1,all,0,1,17.56641
Maze3,contra_audio,0,1,21.36658
Maze1,audio_only,0,1,48.03296
Maze4,contra_visual,1,1,28.06641
Maze1,const_contra_audio2,0,1,17.31653
Maze2,all,0,1,18.71655
Maze4,visual_only,0,1,17.11658
Maze2,const_contra_visual,0,0,120.5493
