maze_type,condition,collision_number,success_maze,completion_time
Maze2,audio_only,6,0,120.8527
Maze1,contra_visual,8,1,67.99969
Maze2,all,0,1,27.63318
Maze1,const_contra_visual,2,1,88.59955
Maze2,contra_visual,0,1,53.64972
Maze1,contra_audio,0,1,15.33325
Maze3,contra_visual,0,1,59.23303
Maze1,all,0,1,15.33325
Maze4,const_contra_audio2,0,1,16.73328
Maze3,audio_only,3,1,59.46631
Maze4,contra_visual,0,1,30.59985
Maze2,visual_only,0,1,18.61658
Maze3,const_contra_audio2,0,1,19.09985
Maze4,const_contra_visual,0,1,49.76648
Maze2,contra_audio,0,1,20.86658
Maze1,const_contra_audio2,0,1,15.09985
Maze4,invisible,1,1,43.99976
Maze2,const_contra_audio2,0,1,16.94995
Maze3,const_contra_visual,1,1,68.04968
Maze1,invisible,1,1,108.0161
Maze4,visual_only,0,1,15.49988
Maze2,const_contra_visual,5,0,120.366
Maze3,visual_only,0,1,17.2666
Maze4,contra_audio,0,1,14.96655
Maze3,all,0,1,16.13318
Maze1,visual_only,0,1,13.56665
Maze4,all,0,1,15.3999
Maze1,audio_only,1,1,70.09961
Maze3,invisible,2,1,52.18311
Maze4,audio_only,2,1,49.43311
Maze2,invisible,1,1,61.36646
Maze3,contra_audio,0,1,18.06665
