time,x,y,z,rx,ry,rz,maze_type,condition,collision_status
1691403281312,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,6
1691403281317,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281344,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281378,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281395,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281411,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281428,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281445,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281478,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281495,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281510,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281528,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281545,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281578,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281594,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281610,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281627,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281644,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281677,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281694,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281710,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281727,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281744,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281777,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281794,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281810,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281827,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281844,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281877,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281894,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281910,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281928,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281944,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281977,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403281994,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282010,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282027,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282044,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282077,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282094,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282110,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282127,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282144,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282177,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282194,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282210,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282227,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282244,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282277,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282294,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282311,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282327,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282344,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282377,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282394,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282411,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282427,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282444,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282478,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282494,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282511,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282527,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282544,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282577,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282594,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282610,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282627,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282644,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282681,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282695,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282712,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282729,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282743,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282778,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282794,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282810,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282828,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282845,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282879,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282894,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282914,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282928,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282943,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282978,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403282996,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283011,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283027,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283043,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283078,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283094,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283111,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283129,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283147,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283178,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283195,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283212,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283227,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283244,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283278,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283294,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283313,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283328,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283345,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283378,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283396,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283412,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283430,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283445,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283478,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283494,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283511,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283529,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283544,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283578,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283594,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283611,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283628,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283645,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283678,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283697,0.62,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283711,0.6195832,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283728,0.6187499,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283746,0.6175001,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283778,0.6137477,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283797,0.6112509,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283811,0.6083335,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283828,0.6049935,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283844,0.6012478,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283879,0.5925005,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283894,0.5874966,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283911,0.5820795,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283928,0.5762327,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283944,0.5699896,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283980,0.5562565,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403283995,0.5487478,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284013,0.5408313,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284028,0.5324824,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284045,0.5241592,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284079,0.5074864,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284095,0.4991632,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284111,0.4908215,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284128,0.4824896,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284144,0.4741664,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284179,0.4574953,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284195,0.449172,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284211,0.4408318,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284230,0.4324982,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284244,0.4241633,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284278,0.407499,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284297,0.3991663,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284311,0.3908315,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284330,0.3824981,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284344,0.374165,0.219,0.83,0,0,0,Maze3,contra_audio,0
1691403284378,0.357484,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284397,0.3491608,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284411,0.3408177,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284429,0.3324945,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284445,0.3241612,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284478,0.307472,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284494,0.2991488,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284513,0.2908092,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284529,0.282486,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284545,0.2741439,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284578,0.2574975,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284595,0.2491655,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284612,0.2408156,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284628,0.2324829,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284644,0.2241506,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284678,0.2074943,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284694,0.1991711,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284711,0.1908177,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284728,0.1824837,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284746,0.1741514,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284780,0.1574253,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284795,0.1491021,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284811,0.1407789,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284828,0.1324556,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284844,0.1241324,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284878,0.1074859,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
1691403284898,0.09916272,0.219,0.8299999,0,0,0,Maze3,contra_audio,0
