maze_type,condition,collision_number,success_maze,completion_time
Maze3,contra_audio,0,1,22.30347
Maze1,invisible,0,1,42.60016
Maze4,const_contra_visual,0,1,30.91669
Maze1,const_contra_audio2,0,1,15.46674
Maze2,audio_only,0,0,120.4168
Maze1,const_contra_visual,0,1,41.56677
Maze4,contra_audio,0,1,17.81671
Maze3,visual_only,0,1,15.56665
Maze1,contra_audio,0,1,13.19995
Maze2,invisible,3,1,96.83362
Maze4,all,0,1,14.25012
Maze2,visual_only,0,1,21.33337
Maze3,all,1,1,14.91675
Maze2,const_contra_visual,1,1,41.88342
Maze1,contra_visual,2,1,35.53345
Maze3,invisible,0,1,24.38342
Maze4,contra_visual,4,1,28.01672
Maze3,audio_only,0,1,27.81677
Maze1,visual_only,1,1,14.80005
Maze3,const_contra_visual,1,1,28.63342
Maze2,all,0,1,15.06677
Maze4,const_contra_audio2,2,1,12.75
Maze2,contra_audio,0,1,15.95007
Maze4,invisible,0,1,21.25
Maze2,const_contra_audio2,0,1,15.71667
Maze1,all,0,1,15.15002
Maze4,audio_only,0,1,41.33337
Maze2,contra_visual,2,1,79.55005
Maze4,visual_only,0,1,14.51672
Maze3,const_contra_audio2,0,1,14.56665
Maze1,audio_only,0,1,41.05005
Maze3,contra_visual,1,1,30.13342
