maze_type,condition,collision_number,success_maze,completion_time
Maze4,const_contra_visual,5,0,120.8693
Maze2,contra_visual,2,0,120.8326
Maze1,audio_only,0,0,120.7993
Maze4,visual_only,0,1,19.29993
Maze3,const_contra_audio2,0,1,20.21649
Maze1,invisible,1,1,26.48328
Maze4,contra_visual,0,1,24.59985
Maze2,audio_only,1,0,120.6492
Maze3,contra_visual,1,1,32.51648
Maze1,const_contra_visual,1,1,79.46631
Maze4,audio_only,0,1,38.71655
Maze3,contra_audio,0,1,19.58325
Maze2,visual_only,0,1,19.08313
Maze4,all,1,1,20.08325
Maze1,visual_only,0,1,14.21655
Maze3,const_contra_visual,1,1,35.23315
Maze1,const_contra_audio2,0,1,15.95007
Maze2,all,2,1,21.5498
Maze3,visual_only,0,1,17.31665
Maze1,all,0,1,16.69995
Maze4,contra_audio,0,1,17.36658
Maze2,invisible,2,0,120.0994
Maze4,const_contra_audio2,0,1,16.24988
Maze3,audio_only,0,1,42.46631
Maze4,invisible,3,1,59.38306
Maze3,all,0,1,16.98328
Maze2,const_contra_audio2,0,1,17.3999
Maze1,contra_audio,0,1,16.69983
Maze2,const_contra_visual,9,0,120.1993
Maze1,contra_visual,0,1,44.73315
Maze2,contra_audio,0,1,19.16663
Maze3,invisible,2,1,33.9165
