maze_type,condition,collision_number,success_maze,completion_time
Maze2,contra_visual,6,1,119.7359
Maze4,const_contra_visual,0,1,60.04956
Maze1,invisible,1,1,40.94977
Maze4,contra_audio,0,1,43.18311
Maze3,visual_only,0,1,20.28314
Maze4,all,0,1,19.79993
Maze2,visual_only,0,1,23.48322
Maze4,contra_visual,0,1,27.4165
Maze2,contra_audio,0,1,24.49976
Maze1,audio_only,0,0,120.9326
Maze3,const_contra_visual,1,0,120.8492
Maze2,const_contra_audio2,0,1,21.34998
Maze4,audio_only,0,1,93.66602
Maze2,all,0,1,18.19995
Maze1,contra_audio,0,1,16.41663
Maze3,all,0,1,18.18311
Maze4,visual_only,0,1,17.58325
Maze1,all,0,1,16.58325
Maze4,invisible,0,1,29.76648
Maze3,contra_audio,0,1,21.61646
Maze1,contra_visual,3,1,37.74976
Maze3,const_contra_audio2,0,1,19.59985
Maze1,visual_only,0,1,14.79993
Maze3,audio_only,0,1,46.98315
Maze2,const_contra_visual,0,0,120.9827
Maze3,contra_visual,0,1,37.54968
Maze1,const_contra_visual,0,1,28.89978
Maze2,invisible,0,1,67.44958
Maze1,const_contra_audio2,0,1,16.33325
Maze2,audio_only,0,1,43.41638
Maze3,invisible,0,1,34.88306
Maze4,const_contra_audio2,0,1,16.9165
