maze_type,condition,collision_number,success_maze,completion_time
Maze2,visual_only,0,1,23.31989
Maze1,const_contra_audio2,0,1,17.54993
Maze2,const_contra_visual,1,0,120.366
Maze4,visual_only,0,1,21.31653
Maze2,invisible,2,0,120.2493
Maze4,const_contra_visual,1,0,120.8827
Maze3,all,0,1,19.29993
Maze1,const_contra_visual,0,0,120.9327
Maze3,const_contra_audio2,1,1,27.44983
Maze4,invisible,1,1,34.99988
Maze2,audio_only,0,1,56.28296
Maze3,visual_only,0,1,20.09998
Maze2,contra_visual,3,1,33.11646
Maze1,invisible,0,1,38.66638
Maze4,contra_audio,0,1,21.2998
Maze3,audio_only,0,1,63.66626
Maze2,contra_audio,0,1,20.79993
Maze4,audio_only,0,1,28.06665
Maze3,const_contra_visual,0,1,29.6665
Maze1,audio_only,1,1,46.99963
Maze3,invisible,6,1,42.33313
Maze1,all,0,1,15.86646
Maze3,contra_audio,0,1,19.88318
Maze2,const_contra_audio2,0,1,19.0332
Maze1,contra_visual,6,1,48.4165
Maze4,all,0,1,20.0332
Maze3,contra_visual,0,1,28.5332
Maze4,const_contra_audio2,0,1,16.7666
Maze1,visual_only,0,1,15.84985
Maze4,contra_visual,0,1,20.1499
Maze1,contra_audio,0,1,14.79993
Maze2,all,0,1,19.31653
