maze_type,condition,collision_number,success_maze,completion_time
Maze1,contra_visual,3,1,63.65332
Maze4,all,0,1,15.96671
Maze3,const_contra_visual,5,0,120.8499
Maze1,invisible,1,1,25.31671
Maze4,contra_audio,0,1,27.0166
Maze1,const_contra_audio2,0,1,20.51672
Maze3,contra_visual,0,1,59.43329
Maze2,contra_audio,0,1,17.70007
Maze4,contra_visual,1,1,35.09998
Maze3,contra_audio,0,1,19.53333
Maze4,const_contra_visual,0,0,120.2666
Maze2,invisible,0,1,59.81659
Maze3,const_contra_audio2,0,1,21.33337
Maze1,visual_only,0,1,14.93335
Maze4,invisible,0,1,42.58337
Maze2,all,0,1,19.96667
Maze1,audio_only,0,0,120.0333
Maze4,visual_only,0,1,16.23328
Maze1,all,1,1,14.73328
Maze2,visual_only,0,1,20.30005
Maze4,audio_only,0,1,81.74988
Maze2,const_contra_visual,0,0,120.2667
Maze4,const_contra_audio2,0,1,19.30005
Maze2,audio_only,0,1,83.63342
Maze3,invisible,0,1,51.19995
Maze2,contra_visual,3,1,70.55017
Maze1,contra_audio,0,1,15.58337
Maze3,all,0,1,16.58325
Maze2,const_contra_audio2,0,1,17.08337
Maze3,audio_only,0,0,120.9333
Maze1,const_contra_visual,0,1,95.34985
Maze3,visual_only,0,1,16.15002
