maze_type,condition,collision_number,success_maze,completion_time
Maze2,audio_only,1,0,120.7693
Maze1,contra_visual,0,1,58.86639
Maze2,all,0,1,27.89984
Maze1,const_contra_visual,0,1,103.0661
Maze2,contra_visual,11,0,120.1493
Maze1,contra_audio,0,1,14.23328
Maze3,contra_visual,0,1,24.2998
Maze1,all,0,1,19.28333
Maze4,const_contra_audio2,0,1,17.34985
Maze3,audio_only,20,0,120.366
Maze4,contra_visual,0,1,26.43323
Maze2,visual_only,0,1,19.08325
Maze3,const_contra_audio2,0,1,18.18323
Maze4,const_contra_visual,1,1,77.63281
Maze2,contra_audio,0,1,17.24988
Maze1,const_contra_audio2,0,1,13.0332
Maze4,invisible,3,0,120.3827
Maze2,const_contra_audio2,0,1,16.26648
Maze3,const_contra_visual,0,1,47.0498
Maze1,invisible,0,1,38.73303
Maze4,visual_only,0,1,16.44983
Maze2,const_contra_visual,4,0,120.2992
Maze3,visual_only,0,1,17.23328
Maze4,contra_audio,0,1,16.83325
Maze3,all,0,1,18.99988
Maze1,visual_only,0,1,14.94995
Maze4,all,0,1,17.06653
Maze1,audio_only,0,1,45.81641
Maze3,invisible,0,1,51.83301
Maze4,audio_only,0,1,31.13318
Maze2,invisible,0,1,116.4993
Maze3,contra_audio,0,1,19.4165
