time,x,y,z,rx,ry,rz,maze_type,condition,collision_status
1692019662810,0.62,0.219,0.83,0,0,0,Maze2,audio_only,6
1692019662813,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019662845,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019662861,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019662879,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019662895,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019662928,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019662945,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019662961,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019662979,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019662995,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663029,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663045,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663062,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663078,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663095,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663128,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663144,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663162,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663178,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663195,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663229,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663245,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663262,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663278,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663294,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663328,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663345,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663362,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663378,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663394,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663429,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663445,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663462,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663479,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663494,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663528,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663545,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663562,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663578,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663595,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663629,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663645,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663661,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663678,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663695,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663728,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663744,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663761,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663778,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663795,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663829,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663845,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663861,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663878,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663895,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663928,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663945,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663961,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663978,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019663994,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664028,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664045,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664061,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664078,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664095,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664128,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664145,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664162,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664179,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664194,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664229,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664245,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664261,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664278,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664294,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664329,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664345,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664361,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664378,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664395,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664429,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664445,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664462,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664478,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664494,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664528,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664545,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664562,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664578,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664595,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664628,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664645,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664661,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664678,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664694,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664728,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664745,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664761,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664779,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664795,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664828,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664845,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664862,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664878,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664895,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664928,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664945,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664961,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664979,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019664995,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665028,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665045,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665061,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665078,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665094,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665128,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665145,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665162,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665178,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665195,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665228,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665245,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665262,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665278,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665295,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665328,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665345,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665361,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665378,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665394,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665428,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665445,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665462,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665478,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665495,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665528,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
1692019665545,0.62,0.219,0.83,0,0,0,Maze2,audio_only,0
