maze_type,condition,collision_number,success_maze,completion_time
Maze2,audio_only,1,0,120.7193
Maze1,contra_visual,3,1,46.66644
Maze2,all,0,1,19.61652
Maze1,const_contra_visual,2,1,49.61646
Maze2,contra_visual,0,1,23.73322
Maze1,contra_audio,0,1,15.74988
Maze3,contra_visual,0,1,19.1665
Maze1,all,0,1,10.53326
Maze4,const_contra_audio2,0,1,11.81665
Maze3,audio_only,0,0,120.0493
Maze4,contra_visual,0,1,18.28326
Maze2,visual_only,0,1,13.6499
Maze3,const_contra_audio2,0,1,13.89996
Maze4,const_contra_visual,0,1,31.96649
Maze2,contra_audio,0,1,14.98328
Maze1,const_contra_audio2,0,1,15.93323
Maze4,invisible,0,1,18.79987
Maze2,const_contra_audio2,0,1,17.66656
Maze3,const_contra_visual,4,1,66.11627
Maze1,invisible,0,1,26.13318
Maze4,visual_only,0,1,14.83325
Maze2,const_contra_visual,0,1,28.2832
Maze3,visual_only,0,1,14.31653
Maze4,contra_audio,0,1,12.31665
Maze3,all,0,1,13.98328
Maze1,visual_only,0,1,13.74988
Maze4,all,0,1,13.48328
Maze1,audio_only,0,1,30.48315
Maze3,invisible,0,1,22.23315
Maze4,audio_only,1,1,56.13306
Maze2,invisible,1,1,51.16638
Maze3,contra_audio,0,1,13.83337
